58d957a | Switched to aws services

3ae194e | Migrate AI core from Anthropic to Amazon Nova models to bypass restrictive AWS Marketplace payment instrument blocks while maintaining frontier intelligence

b304814 | Implement Enterprise Model Routing: Splitting cognitive loads between Sonnet 3.5, Haiku, and Llama 3 for optimal performance and pure cost efficiency

1ba41f1 | Revert primary AI models to AWS Claude 3 Haiku after securing account provision access

3a5c21a | Fallback entirely to Llama 3 8B to prevent on-demand throughput/inference profile errors in AWS Bedrock

c9bff1c | Fix AWS Bedrock Converse API constraints and Llama 3 json parsing

b306fcd | Reinstate Groq explicitly only for STT/Whisper, ensuring type safety

3c686b6 | Add AWS Amplify configuration for Next.js hosting

00e0f1a | Integrate Amazon S3 for durable resume storage and add S3 SDK

5e95e72 | Migrate AI backend from Groq to Amazon Bedrock Converse API with Claude 3 Haiku / Llama 3 8B for cost optimization
